orgnizationID,location
750911639,甘肃省天水市天水天宝塑业有限责任公司
154820220,福建省福州市永泰县自来水公司
155822711,福建省三明市宁化县自来水公司
155862967,福建省三明市大田县大竹林煤矿
155900636,福建省三明市福建省尤溪县南洋水泥厂
15598135X,福建省三明市福建省将乐县自来水厂
DX0121050,西藏自治区拉萨市城关区地毯厂
919666094,西藏自治区拉萨市西藏日报社
919667361,西藏自治区拉萨市西藏拉萨火电厂
919668102,西藏自治区拉萨市西藏羊八井地热发电厂
919670851,西藏自治区拉萨市西藏自治区拉萨西郊电厂
21478543X,贵州省遵义市遵义市五星水泥厂
215530957,贵州省毕节地区黔西县供电局
215630229,贵州省毕节地区赫章县水泥厂
21625013X,贵州省黔南布依族苗族自治州贵州省都匀水泵厂
216271029,贵州省黔南布依族苗族自治州都匀长鑫建材有限责任公司
117792574,辽宁省沈阳市沈阳消防器材厂
117978555,辽宁省沈阳市沈阳第二水泵厂
118017035,辽宁省沈阳市沈阳无线电二厂
118372264,辽宁省大连市大连经济技术开发区热力公司
118475757,辽宁省大连市大连船用柴油机厂
202952712,重庆市大渡口区重庆新工汽车零部件有限公司
202985274,重庆市大渡口区重庆明华汽车零件有限公司
203168073,重庆市南岸区重庆超科实业有限公司
203298820,重庆市万盛区重庆市广沙湾洗选厂
203420603,重庆市九龙坡区重庆天池水泥厂
220600817,陕西省西安市西安电力树脂厂
221141173,陕西省铜川市铜川市自来水公司
221463105,陕西省宝鸡市陕西省天柱水泥制造有限责任公司
221770930,陕西省咸阳市陕西省饲料厂
221832142,陕西省咸阳市陕西玻璃纤维总厂
226580984,青海省西宁市青海新型建筑材料厂
710401685,青海省西宁市青海省花宝蜂业股份合作公司
926581507,青海省西宁市青海日报印刷厂
710554948,青海省海北藏族自治州祁连县海洋煤炭有限公司
710538550,青海省海北藏族自治州祁连县八宝铅锌有限公司
128401161,黑龙江省齐齐哈尔市齐齐哈尔市和平工商联合公司
129322545,黑龙江省大庆市大庆市粮食局挂面厂
129333981,黑龙江省大庆市大庆高新技术产业开发区风华有限公司
130201740,黑龙江省牡丹江市牡丹江市自来水公司
130208272,黑龙江省牡丹江市牡丹江冶金机械制造有限责任公司
